frame,knee,hip,torso
0,179.37175015171513,174.15686804732186,3.5241510112756047
1,179.7173132843155,173.94869668867833,3.6287696953206603
2,179.90489127393053,173.77445492284528,3.7282591578849336
3,179.94212362528035,173.68740259905027,3.8124480242778658
4,179.61087631746756,173.96066922152096,3.774303420318032
5,179.42774584025724,174.13040907317946,3.763915870433227
6,179.34151001358654,174.2522114785256,3.765814390927485
7,179.4739612649076,174.40370582219472,3.7141416747791007
8,179.5039279403275,174.4228218415938,3.7152817066672994
9,177.62419597628295,173.15480314141817,5.099400840983329
10,177.672146010101,173.17477655912185,5.065858359323804
11,177.6810236565885,173.18819382368335,5.056229878919621
12,177.6391156522313,173.18652873525738,5.091731989348523
13,177.52554921013754,173.21941426921222,5.117106176180354
14,177.54184315702105,173.20832849609218,5.069065336756418
15,177.39976084308546,173.34035624822533,4.989115672105723
16,177.44762725966385,173.4089590888854,4.889804082510633
17,177.49746245572268,173.374363938038,4.856669448720222
18,177.6000805701267,173.3513353529721,4.800401748273578
19,177.69558178066748,173.26269122214458,4.796106927780937
20,177.70068885334248,173.32263971139463,4.736611350435031
21,177.71172263985417,173.35156839022886,4.69598292674439
22,177.83598002238847,173.30708931304494,4.667919749852825
23,178.00257540832237,173.20136027686866,4.672844248749957
24,178.15628662194328,173.10901892330665,4.670946621740186
25,178.2359081204704,173.07132658300145,4.656787832674212
26,178.27947232874843,173.0443020530357,4.653131840853061
27,178.37478059115284,172.95656423862695,4.668096548861905
28,178.42056818227667,172.89861707745908,4.682045127958889
29,178.46076189723556,172.83497437339238,4.700152593704949
30,178.49868187156545,172.76543067627665,4.723603225929454
31,178.5260227296172,172.70341203132864,4.748898809590659
32,178.55104953419945,172.64467958931192,4.773660480040591
33,178.5588953818301,172.60810782581987,4.790017613395244
34,178.57040595537504,172.57714578464237,4.800368173662434
35,178.5568647460791,172.5745681149007,4.799047665137969
36,178.5442633542205,172.57029749482078,4.8021085220488
37,178.50652935378832,172.57989606637685,4.804445852451817
38,178.4970765608036,172.57676566902504,4.803987703117318
39,178.4620538648374,172.58860661779323,4.806398724318066
40,178.4329541794523,172.5973959791091,4.807760112302021
41,178.38060782845403,172.61175928377202,4.816744993311868
42,178.31774326239778,172.62324185181555,4.825592381311356
43,178.21308538207765,172.6588700517282,4.827915673430441
44,178.11885894787142,172.69168984753665,4.830253291684265
45,177.9456635926704,172.76932561776803,4.829285236925307
46,177.8229220308608,172.84125623530502,4.815619735965311
47,177.7059253680684,172.9118783679836,4.7967095747986255
48,177.5761409980137,172.98846915694932,4.7779045717293185
49,177.4714710535804,173.04821675500588,4.763008505140522
50,177.42279249006842,173.09360691199944,4.732225616247321
51,177.3855214620397,173.13470725045661,4.696875676240387
52,177.4217411876126,173.151134937613,4.655508092827339
53,177.49395800345724,173.20043088395673,4.552529020823229
54,177.56776909296894,173.25071864414636,4.443258972704987
55,177.5764778370126,173.36370345881824,4.32032609741441
56,177.59851335740117,173.5514596817035,4.151604044819194
57,177.37678718469041,173.795817956136,4.030533769000909
58,177.23830622823434,173.82785853724144,4.000371903427804
59,177.08657962446406,174.01293005265688,3.7679535884777997
60,176.9605813145886,174.19921434362755,3.638822455892784
61,176.72964924113776,174.3382025919264,3.5538759992657667
62,176.67355466054696,174.21208180952905,3.570966422551207
63,176.55362701014369,173.9821095575412,3.664553584510824
64,176.35138952996962,173.81219014130986,3.671168189100988
65,176.10291642920953,173.69222212588826,3.6320194989269394
66,175.93379207639975,173.50263044179306,3.6042972479075788
67,176.0607678371669,173.39587794603338,3.46166023577321
68,176.11629372051823,173.08125767672271,3.5222939121384713
69,176.09106100078841,173.00301772391074,3.4657875133572
70,176.05593648935283,172.88166079196333,3.492747117579615
71,176.07122082693385,172.78603289123785,3.5291753239359895
72,176.1076680838626,172.8519747469676,3.548799920722578
73,176.24929042844516,172.84873975833324,3.583579196099392
74,175.92120363435674,173.37465419552777,3.6199433476026655
75,176.20874521382336,173.89056312825934,3.5744699155971116
76,176.36520163882835,174.61428162828906,3.475470494670033
77,176.52965710722424,174.5732114840165,3.9171478959490753
78,176.7628124680922,174.58195977324786,4.2036531863086415
79,177.04873359639578,174.6294192614781,4.4364360862012
80,177.11418990614703,174.8241535170158,4.578139899485394
81,177.00940433464578,175.00228967924662,4.793509657478614
82,177.00502513108034,175.21980936059273,4.837499849603377
83,176.25929817659716,175.92742300993223,4.680199554072829
84,176.06815597442497,176.2784413681378,4.476293913225156
85,176.21271632125644,176.18808330270843,4.41095282054279
86,176.21583007755316,176.19350898877474,4.332584280948846
87,175.93930778075838,176.27810583874052,4.293248662701784
88,175.72260891010188,176.46349934659176,4.186921863796366
89,175.4716298529312,176.42272820104128,4.0910089636606735
90,175.3164833037228,176.38189690714276,3.964471573194635
91,175.27097521322167,176.06395263268087,3.956430754348416
92,175.4827744788062,175.64053700721902,3.9780095610075397
93,175.49995222960393,175.48724547151403,3.9792824918037932
94,175.7560280931082,175.0292804490416,4.1110031496628
95,175.88972128236892,174.83449585700302,4.145897826491981
96,176.0071522777673,174.66540285372926,4.189080498581235
97,176.11841757284654,174.48727041229577,4.245071701006682
98,176.17613854681028,174.38770041573915,4.287062331852981
99,176.1524694840544,174.43253162595636,4.257530735764871
100,176.1761007255989,174.41848172025496,4.256086653196416
101,176.1969023654216,174.4461617578622,4.227617008123736
102,176.23558875193538,174.4293836294579,4.219037661299895
103,176.28122774412995,174.3744722724971,4.233675518223926
104,176.32797910143043,174.29200917580846,4.2582177477565395
105,176.31007011129867,174.27223626610777,4.254976223986529
106,176.25948265859324,174.25272359738096,4.261151721928387
107,176.1947387685817,174.26476456432098,4.243866556315117
108,176.15818803654528,174.25813626840912,4.230975558084062
109,176.1518040314986,174.2770783367796,4.184165142090202
110,176.13848423370786,174.29328976863258,4.1476121608881975
111,176.0795203836636,174.34675632342234,4.106157068178447
112,176.0874007416613,174.31755596374762,4.1023311964788585
113,176.1244366120011,174.2218985053135,4.115739986478695
114,176.1578828304686,174.0896546020845,4.158743710814515
115,176.0524702865053,173.96409923424463,4.23847455973692
116,175.8068749387803,173.92031868129934,4.300650487296573
117,175.6247014513773,173.90120372344282,4.327895313795909
118,175.35532730164985,173.97793332767736,4.332342261975193
119,175.24083571144246,173.99648901717583,4.348432707445984
120,175.14660018923593,174.03725905113194,4.349066443102443
121,175.10194246341763,174.05750442409172,4.358635824993577
122,175.10601512203218,174.04350264717536,4.373058328729006
123,175.18117444064458,174.04320458714596,4.386825238733647
124,175.25886703134745,173.93694180806554,4.494321002676303
125,175.48333649760738,173.75550468943194,4.593702420072254
126,175.49648443099636,173.85903920610323,4.578514247191568
127,175.50307972610923,173.95011235428294,4.585410248075774
128,175.4302469494545,173.98888595414846,4.6224073059535336
129,175.40726638317216,174.0477708393674,4.627233937291103
130,175.331148761974,174.16444031512924,4.604201294546176
131,175.2422899312672,174.33541731316274,4.537860230506299
132,175.15806504484277,174.4944014241515,4.482502604566784
133,175.1171248271959,174.59669710342303,4.443050596625435
134,175.03038423425235,174.72650062219788,4.39691074528393
135,174.9609852173861,174.80955600319774,4.36653620237132
136,174.9197201592225,174.86849971526073,4.339721164010617
137,174.93639350272366,174.9036300563554,4.312605572122381
138,174.93987932241373,174.9390214702671,4.27904598062615
139,174.95952656555363,174.98304239801178,4.225698842144516
140,175.1016300358849,174.95829660437778,4.182781054359874
141,175.16587366118077,174.95562900362287,4.137341243356253
142,175.1952536356364,174.97373939746652,4.083212034756082
143,175.24741836221148,174.971243819712,4.033464363310145
144,175.35160502507242,174.95917888584705,3.9642838848587236
145,175.4532344076354,174.9121744993186,3.918314772521902
146,175.52456835424488,174.8494437118052,3.909195377811989
147,175.6186965812071,174.7529463375936,3.924103375832742
148,175.75589320561735,174.59524921186843,3.970802015853374
149,175.8541926173253,174.51126178142565,3.9896249502144085
